Disease,Symptoms,Severity,Precautions,Diet_Recommendations,Description
Glycogen Storage Diseases,neck pain;difficulty swallowing;weight loss,Severe,Urgent specialist consultation required,Anti-inflammatory diet rich in omega-3 fatty acids,metabolic condition requiring medical management
Lysosomal Storage Diseases,frequent urination;swelling;sneezing;dry skin,Severe,Hospitalization and intensive monitoring needed,Balanced nutrition with adequate protein and vitamins,metabolic condition requiring medical management
Mitochondrial Diseases,nausea;vomiting;muscle pain;vision loss;cold extremities;chills,Severe,Emergency intervention and life support may be necessary,Diabetic-friendly low glycemic index foods,Serious metabolic condition with potential complications
Phenylketonuria,eye pain;kidney pain;irritability;swelling;floaters;loss of appetite,Severe,Immediate emergency medical attention required,"High fiber, low processed food diet",Serious metabolic condition with potential complications
Maple Syrup Urine Disease,frequent urination;headache;neck pain;irritability,Mild,Primary care consultation if symptoms persist,Iron-rich foods with vitamin C enhancement,Chronic metabolic disease requiring ongoing care
Homocystinuria,nasal congestion;depression;wheezing;dizziness,Mild,Lifestyle modifications and preventive measures,Diabetic-friendly low glycemic index foods,Acute metabolic condition needing prompt treatment
Tyrosinemia,abdominal pain;redness;leg pain,Severe,Urgent specialist consultation required,Calcium and vitamin D rich foods,Chronic metabolic disease requiring ongoing care
Cystic Fibrosis,concentration problems;tingling;abdominal pain,Moderate,Medication compliance and lifestyle modifications needed,Iron-rich foods with vitamin C enhancement,Acute genetic condition needing prompt treatment
Huntington Disease,leg pain;eye pain;loss of appetite,Mild,Primary care consultation if symptoms persist,Calcium and vitamin D rich foods,Complex genetic disorder affecting quality of life
Duchenne Muscular Dystrophy,bloating;runny nose;chills;night sweats;weight loss;dry eyes,Moderate,Regular diagnostic testing and assessment required,"Low sodium, heart-healthy Mediterranean diet",Chronic genetic disease requiring ongoing care
Becker Muscular Dystrophy,dry eyes;chest tightness;painful urination;chest pain;neck pain,Moderate,Medication compliance and lifestyle modifications needed,Anti-inflammatory diet rich in omega-3 fatty acids,Acute genetic condition needing prompt treatment
Myotonic Dystrophy,back pain;skin rash;fatigue,Moderate,Regular medical follow-up and monitoring required,Calcium and vitamin D rich foods,Complex genetic disorder affecting quality of life
Spinal Muscular Atrophy,dizziness;limited mobility;tingling;redness;sneezing;loss of appetite;irritability,Mild,Lifestyle modifications and preventive measures,Adequate hydration and nutrient-dense foods,Complex genetic disorder affecting quality of life
Friedreich Ataxia,difficulty swallowing;depression;pelvic pain;nausea;tinnitus;concentration problems,Moderate,Specialist consultation recommended,"High fiber, low processed food diet",Chronic genetic disease requiring ongoing care
Charcot-Marie-Tooth Disease,shortness of breath;anxiety;leg pain,Severe,Immediate emergency medical attention required,"High fiber, low processed food diet",Chronic genetic disease requiring ongoing care
Neurofibromatosis,stiffness;pelvic pain;concentration problems;difficulty swallowing;weight loss;difficulty breathing;blood in urine,Moderate,Specialist consultation recommended,Iron-rich foods with vitamin C enhancement,Serious genetic condition with potential complications
Tuberous Sclerosis,difficulty breathing;weight loss;tingling;chest pain,Moderate,Specialist consultation recommended,Balanced nutrition with adequate protein and vitamins,Serious genetic condition with potential complications
Von Hippel-Lindau Disease,mood changes;runny nose;muscle pain;memory loss;leg pain,Severe,Urgent specialist consultation required,Calcium and vitamin D rich foods,Acute genetic condition needing prompt treatment
Marfan Syndrome,ear pain;concentration problems;constipation;bloating;sensitivity to light;dry eyes;diarrhea,Moderate,Specialist consultation recommended,Iron-rich foods with vitamin C enhancement,genetic condition requiring medical management
Ehlers-Danlos Syndrome,eye pain;dry eyes;anxiety;frequent urination;fatigue;swelling,Moderate,Specialist consultation recommended,Balanced nutrition with adequate protein and vitamins,Chronic genetic disease requiring ongoing care
Osteogenesis Imperfecta,back pain;fatigue;ear pain;tremor,Moderate,Regular medical follow-up and monitoring required,Anti-inflammatory diet rich in omega-3 fatty acids,Acute genetic condition needing prompt treatment
Achondroplasia,skin lesions;dry skin;dizziness;back pain;vomiting;sleep problems,Mild,Self-care measures and symptom monitoring,Calcium and vitamin D rich foods,Chronic genetic disease requiring ongoing care
Sickle Cell Disease,memory loss;limited mobility;vision loss;pelvic pain;fatigue,Severe,Hospitalization and intensive monitoring needed,Iron-rich foods with vitamin C enhancement,Acute genetic condition needing prompt treatment
Thalassemia,stiffness;vision loss;hemoptysis,Mild,Self-care measures and symptom monitoring,Adequate hydration and nutrient-dense foods,Complex genetic disorder affecting quality of life
Hemophilia,sore throat;swelling;sneezing;night sweats,Severe,Urgent specialist consultation required,Balanced nutrition with adequate protein and vitamins,genetic condition requiring medical management
Von Willebrand Disease,sneezing;sore throat;weight loss;runny nose;vomiting;palpitations,Moderate,Regular medical follow-up and monitoring required,"Low sodium, heart-healthy Mediterranean diet",Serious genetic condition with potential complications
Polycystic Kidney Disease,fatigue;depression;painful urination,Mild,Lifestyle modifications and preventive measures,Anti-inflammatory diet rich in omega-3 fatty acids,genetic condition requiring medical management
Hereditary Hemorrhagic Telangiectasia,heartburn;night sweats;hearing loss,Severe,Immediate emergency medical attention required,"High fiber, low processed food diet",genetic condition requiring medical management
Marfan Syndrome,tall stature;long limbs;heart problems;eye problems,Severe,"Genetic counseling, cardiac monitoring, regular screening","Heart-healthy diet, adequate nutrition",Connective tissue disorder affecting multiple systems
Ehlers-Danlos Syndrome,joint hypermobility;skin hyperextensibility;tissue fragility,Moderate,"Joint protection, wound care, genetic counseling","Collagen-supporting nutrition, vitamin C",Connective tissue disorder causing joint and skin problems
Cystic Fibrosis,chronic cough;thick mucus;poor growth;salty sweat,Severe,"Airway clearance, enzyme replacement, infection prevention","High calorie, high fat diet with enzymes",Genetic disorder affecting lungs and digestive system
Huntington Disease,involuntary movements;cognitive decline;psychiatric symptoms,Severe,"Symptomatic treatment, supportive care, genetic counseling","Nutritious diet, maintain weight, safe swallowing",Progressive genetic brain disorder
Amyotrophic Lateral Sclerosis,muscle weakness;difficulty speaking;difficulty swallowing,Severe,"Supportive care, respiratory support, nutritional support","High calorie diet, modified textures if needed",Progressive motor neuron disease
Arthritis Type 1,sensitivity to light;wheezing;shortness of breath;kidney pain,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 2,back pain;tingling;confusion;mood changes;sleep problems,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 3,bloating;seizures;vomiting;back pain,Severe,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 4,hoarse voice;bleeding;joint pain,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 5,night sweats;sensitivity to light;weight gain;runny nose;sore throat;tingling,Moderate,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 6,hoarse voice;eye pain;confusion;concentration problems;shortness of breath;diarrhea,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 7,dry eyes;blurred vision;irritability;mood changes;chills;pelvic pain,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 8,numbness;paralysis;ear pain,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 9,tremor;bloating;watery eyes,Severe,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 10,skin lesions;leg pain;stiffness,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 11,sensitivity to light;chest pain;redness;memory loss,Moderate,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 12,kidney pain;memory loss;tinnitus;weight gain;painful urination,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 13,blurred vision;nausea;numbness,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 14,confusion;hoarse voice;hemoptysis,Moderate,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Arthritis Type 15,abdominal pain;redness;anxiety,Mild,"Appropriate management for arthritis, regular monitoring",Diet specific to arthritis management,Specific variant of arthritis with unique characteristics
Diabetes Type 1,pelvic pain;frequent urination;swelling,Severe,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 2,concentration problems;watery eyes;pelvic pain;sensitivity to light,Moderate,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 3,mood changes;blurred vision;sneezing;back pain,Severe,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 4,seizures;swelling;mood changes;constipation,Mild,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 5,hearing loss;blood in urine;dry eyes;diarrhea;back pain;leg pain,Moderate,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 6,eye pain;leg pain;blurred vision;nausea;swelling,Moderate,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 7,blurred vision;back pain;neck pain;nausea,Severe,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 8,constipation;skin rash;mood changes,Moderate,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 9,kidney pain;concentration problems;nausea;tingling,Mild,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 10,blood in urine;heartburn;bruising;fever;muscle pain;frequent urination,Moderate,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 11,stiffness;hemoptysis;nausea;dry skin;tingling;mood changes,Severe,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 12,bruising;sore throat;nasal congestion;floaters;redness;dry skin,Mild,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 13,abdominal pain;irritability;nausea;heartburn;mood changes,Mild,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 14,swelling;weight loss;chills,Severe,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Diabetes Type 15,dry skin;blood in urine;hoarse voice;weight gain;confusion;watery eyes,Severe,"Appropriate management for diabetes, regular monitoring",Diet specific to diabetes management,Specific variant of diabetes with unique characteristics
Cancer Type 1,diarrhea;paralysis;difficulty breathing;numbness;itching;weight loss,Severe,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 2,sputum production;difficulty swallowing;loss of appetite,Mild,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 3,ear pain;pelvic pain;depression,Moderate,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 4,heartburn;memory loss;pelvic pain,Severe,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 5,weight gain;swelling;sensitivity to light,Moderate,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 6,constipation;depression;back pain;limited mobility,Severe,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 7,diarrhea;nasal congestion;skin lesions;difficulty breathing;floaters;mood changes,Moderate,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 8,bruising;sleep problems;cough;dry skin;cold extremities,Severe,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 9,blurred vision;swelling;tremor;pelvic pain,Mild,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 10,tinnitus;pelvic pain;bloating;bruising;constipation;muscle pain,Moderate,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 11,hoarse voice;muscle pain;stiffness;joint pain;nausea,Moderate,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 12,hearing loss;skin rash;seizures;eye pain;limited mobility,Severe,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 13,leg pain;watery eyes;nasal congestion;seizures,Moderate,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 14,confusion;night sweats;kidney pain,Moderate,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Cancer Type 15,palpitations;abdominal pain;chest tightness;ear pain,Mild,"Appropriate management for cancer, regular monitoring",Diet specific to cancer management,Specific variant of cancer with unique characteristics
Hepatitis Type 1,hearing loss;ear pain;mood changes,Mild,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 2,confusion;tremor;leg pain;diarrhea;bruising,Moderate,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 3,difficulty swallowing;palpitations;leg pain,Mild,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 4,vomiting;sputum production;fatigue,Severe,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 5,weight gain;memory loss;sore throat;watery eyes,Severe,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 6,weight gain;chest tightness;bruising;hemoptysis;shortness of breath,Moderate,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 7,nausea;blood in urine;back pain,Moderate,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 8,bruising;chills;skin lesions;itching;back pain,Moderate,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 9,chest pain;abdominal pain;stiffness;nausea;headache,Mild,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 10,leg pain;sputum production;watery eyes;painful urination;mood changes;blurred vision,Mild,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 11,vomiting;concentration problems;weight loss;tinnitus;swelling,Mild,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 12,chest pain;bleeding;floaters;vision loss;constipation;heartburn,Moderate,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 13,night sweats;swelling;weakness,Severe,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 14,heartburn;joint pain;irritability;swelling;blood in urine,Mild,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Hepatitis Type 15,kidney pain;skin rash;chills;abdominal pain;tingling,Mild,"Appropriate management for hepatitis, regular monitoring",Diet specific to hepatitis management,Specific variant of hepatitis with unique characteristics
Pneumonia Type 1,cough;paralysis;itching;skin rash;leg pain;tingling,Severe,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 2,chills;sensitivity to light;sputum production;concentration problems,Severe,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 3,nausea;bleeding;kidney pain;constipation;leg pain;headache,Mild,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 4,numbness;tinnitus;mood changes;skin rash;heartburn,Severe,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 5,tingling;tremor;depression,Severe,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 6,nausea;weight loss;muscle pain,Mild,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 7,joint pain;dizziness;floaters,Severe,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 8,frequent urination;hemoptysis;vision loss;limited mobility,Severe,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 9,itching;eye pain;night sweats;muscle pain,Mild,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 10,painful urination;chills;swelling;memory loss;hearing loss;bloating,Mild,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 11,sputum production;paralysis;depression;cough,Mild,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 12,swelling;hemoptysis;vomiting;sore throat;abdominal pain,Severe,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 13,dry eyes;eye pain;bleeding;vision loss;loss of appetite,Moderate,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 14,stiffness;leg pain;itching;skin rash,Mild,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Pneumonia Type 15,sensitivity to light;frequent urination;hoarse voice;diarrhea,Mild,"Appropriate management for pneumonia, regular monitoring",Diet specific to pneumonia management,Specific variant of pneumonia with unique characteristics
Anemia Type 1,loss of appetite;sleep problems;headache;depression;palpitations;shortness of breath,Mild,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 2,sleep problems;stiffness;difficulty breathing;tingling;joint pain;anxiety,Severe,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 3,weakness;headache;heartburn;mood changes,Moderate,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 4,depression;painful urination;hoarse voice,Severe,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 5,anxiety;back pain;palpitations;concentration problems,Severe,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 6,hoarse voice;sore throat;concentration problems;abdominal pain;heartburn,Mild,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 7,stiffness;ear pain;tremor,Mild,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 8,paralysis;abdominal pain;sore throat;weight loss;itching,Mild,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 9,stiffness;runny nose;neck pain;vision loss;memory loss,Moderate,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 10,blood in urine;loss of appetite;sore throat;sensitivity to light;floaters,Severe,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 11,kidney pain;abdominal pain;swelling;shortness of breath,Severe,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 12,confusion;memory loss;diarrhea,Mild,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 13,paralysis;shortness of breath;difficulty breathing,Severe,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 14,difficulty breathing;bleeding;blood in urine;nausea;constipation;numbness,Mild,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Anemia Type 15,itching;heartburn;chills;weight gain;difficulty breathing,Mild,"Appropriate management for anemia, regular monitoring",Diet specific to anemia management,Specific variant of anemia with unique characteristics
Thyroid Disease Type 1,chest tightness;memory loss;fever;difficulty swallowing;heartburn;wheezing,Severe,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 2,limited mobility;sputum production;redness;kidney pain;runny nose,Moderate,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 3,muscle pain;tremor;chest tightness;hemoptysis;leg pain,Mild,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 4,nasal congestion;stiffness;hoarse voice,Severe,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 5,nausea;stiffness;chest pain;seizures,Mild,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 6,dry eyes;chest tightness;shortness of breath;muscle pain,Severe,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 7,bloating;mood changes;cold extremities;anxiety;difficulty breathing,Moderate,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 8,bloating;headache;painful urination,Severe,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 9,nasal congestion;constipation;hoarse voice;diarrhea,Severe,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 10,itching;sputum production;dizziness;difficulty swallowing;chest pain;weight loss,Severe,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 11,cough;watery eyes;skin lesions,Mild,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 12,neck pain;vision loss;headache;skin lesions;chills;bloating,Moderate,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 13,nausea;blurred vision;back pain;blood in urine,Severe,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 14,bleeding;mood changes;paralysis;cough;runny nose;swelling,Severe,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Thyroid Disease Type 15,painful urination;vomiting;tremor;joint pain;muscle pain;night sweats,Severe,"Appropriate management for thyroid disease, regular monitoring",Diet specific to thyroid disease management,Specific variant of thyroid disease with unique characteristics
Heart Disease Type 1,nausea;sensitivity to light;blurred vision,Severe,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 2,sneezing;itching;sleep problems,Severe,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 3,sputum production;swelling;depression;pelvic pain,Mild,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 4,weight loss;eye pain;dry eyes;leg pain;night sweats,Moderate,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 5,bruising;itching;fatigue;loss of appetite;sore throat;irritability,Moderate,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 6,bleeding;tremor;irritability,Severe,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 7,weight loss;diarrhea;swelling;fatigue;frequent urination,Severe,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 8,swelling;redness;nasal congestion;diarrhea;heartburn;sputum production,Mild,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 9,depression;constipation;sneezing;bruising,Moderate,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 10,tingling;dry skin;blurred vision;night sweats;dizziness,Moderate,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 11,memory loss;mood changes;sore throat;dry eyes;kidney pain,Moderate,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 12,nasal congestion;runny nose;difficulty breathing;dry eyes;skin lesions,Severe,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 13,fatigue;ear pain;difficulty swallowing;chills;concentration problems;redness,Severe,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 14,vision loss;diarrhea;bleeding;heartburn;palpitations;concentration problems,Moderate,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Heart Disease Type 15,wheezing;kidney pain;itching;bleeding;heartburn,Severe,"Appropriate management for heart disease, regular monitoring",Diet specific to heart disease management,Specific variant of heart disease with unique characteristics
Kidney Disease Type 1,muscle pain;runny nose;tingling;incontinence;swelling,Mild,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 2,paralysis;bleeding;limited mobility,Severe,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 3,weight gain;heartburn;paralysis,Mild,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 4,wheezing;seizures;confusion;painful urination,Mild,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
